ID,CreationDate,Score,ViewCount,AnswerCount,FavoriteCount
"54432","2019-06-25 06:46:58","0","44","<neural-network><classification><regression>",""
"54433","2019-06-25 07:04:37","1","38","<neural-network><predictive-modeling><correlation>",""
"54436","2019-06-25 07:29:41","0","1885","<machine-learning><python><data><data-analysis><anaconda>",""
"54437","2019-06-25 08:07:46","0","15","<machine-learning><neural-network><deep-learning><time-series><data-science-model>","1"
"54439","2019-06-25 08:30:18","0","69","<machine-learning><cnn>",""
"54441","2019-06-25 08:44:45","1","39","<python><deep-learning><convnet><image-recognition>",""
"54443","2019-06-25 09:30:07","1","708","<python><deep-learning><keras><tensorflow>",""
"54450","2019-06-25 11:44:43","3","352","<dataset><data><training><evaluation><object-detection>","2"
"54452","2019-06-25 11:51:11","0","77","<r><programming>","1"
"54453","2019-06-25 12:12:45","2","89","<regression><cross-validation>","1"
"54464","2019-06-25 13:06:41","1","108","<text-mining><information-retrieval><topic-model>",""
"54465","2019-06-25 13:07:27","2","28","<clustering><linear-regression>",""
"54466","2019-06-25 13:34:43","0","29","<lstm><word-embeddings><multilabel-classification><recurrent-neural-net>",""
"54467","2019-06-25 14:17:25","1","125","<nlp><word2vec>",""
"54472","2019-06-25 15:59:35","2","37","<python><pandas><data-cleaning>",""
"54473","2019-06-25 16:01:20","1","187","<neural-network><multiclass-classification><dimensionality-reduction><regularization>",""
"54477","2019-06-25 17:00:50","2","106","<neural-network><deep-learning><keras><tensorflow><cnn>",""
"54478","2019-06-25 17:03:35","2","178","<neural-network><hyperparameter><hyperparameter-tuning>",""
"54480","2019-06-25 17:09:49","1","240","<machine-learning><tensorflow>",""
"54483","2019-06-25 17:33:51","1","65","<machine-learning><python><keras><time-series><regression>",""
"54485","2019-06-25 18:35:13","0","210","<keras><convnet>",""
"54487","2019-06-25 19:15:08","0","41","<machine-learning><python><classification><keras>",""
"54488","2019-06-25 19:19:52","0","34","<r><statistics>","0"
"54489","2019-06-25 19:51:24","0","35","<machine-learning><cross-validation><variance><bias>",""
"54491","2019-06-25 20:14:51","3","2442","<keras>","0"
